,SNAI2,miR101,CDH1,ZEB1,SNAI1,miR200a,miR205,miR9,miR141,miR200b,miR30c,miR200c,TWIST2,FOXC2,miR34a,KLF8,ZEB2,TGFbeta,VIM,TCF3,TWIST1,GSC
SNAI2,0.7541623739402323,-0.6964276049299274,-0.7762194602357152,0.6886780998239836,0.44077008023836506,-0.618579334581532,0.0,0.0,-0.6168402002806046,-0.8122091906263854,0.0,-0.618579334581532,0.7829702934749346,0.4624254071583601,-0.5440703926005476,0.6371600566084625,0.6932829403822629,0.7406268965105792,0.7735550384347448,0.5258617323554078,0.5850918435615668,0.6618085804101361
miR101,-0.5631195314930382,0.46156336891676986,0.5892935558669936,-0.7151161836912986,-0.35268459021617693,0.6539495524320461,0.0,0.0,0.651340299571682,0.6448790766009667,0.0,0.6539495524320461,-0.49675946350404915,-0.43986112948559936,0.5417175649815629,-0.5094021420727717,-0.7214455230224976,-0.5841575408515141,-0.5893637920072892,-0.3267093083200081,-0.37844936817464686,-0.5139553363110367
CDH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEB1,0.6884720176391819,-0.5342043770355102,-0.8061460834556531,0.8174087060861798,0.4925851145232209,-0.8424561137593903,0.0,0.0,-0.8413341233713434,-0.8373433965046763,0.0,-0.8424561137593903,0.714446208409903,0.5090748323426366,-0.7812980808480547,0.4722962282852562,0.720625656399117,0.7604562427109957,0.8043409907802161,0.46845801991802904,0.5298360913878437,0.6770500324934721
SNAI1,0.48917782313929975,-0.4063689384478555,-0.5180503838383818,0.5342154905561707,0.1829092593264486,-0.48729576128496277,0.0,0.0,-0.48905346004474043,-0.4781028829098579,0.0,-0.48729576128496277,0.4365112789185499,0.38032220518846166,-0.45372390319132727,0.3676252229739557,0.5292986846193514,0.43721333576549587,0.513835637028307,0.27712706888032046,0.31671928897189483,0.3873017151402749
miR200a,-0.6769080368723975,0.5120784500812662,0.6963133428524991,-0.8069313620923395,-0.45615496734276223,0.7329955106301745,0.0,0.0,0.7319060091006865,0.72763973553802,0.0,0.7329955106301745,-0.6044865199936181,-0.48536542043975855,0.6721057718715796,-0.4482398619757418,-0.8103597773927291,-0.7530000265740873,-0.6944193372011153,-0.44101856490187874,-0.5059068880126298,-0.6700646367871478
miR205,-0.6238814154092326,0.4799800336942255,0.7385299711235049,-0.8472979406409683,-0.45491764993090433,0.7665459802086168,0.0,0.0,0.7659550792445116,0.7628215169070626,0.0,0.7665459802086168,-0.6455645944349335,-0.4606310770199464,0.7187054395922494,-0.41116087134655777,-0.8496936486077014,-0.6806139126798493,-0.7369416751344374,-0.40717237497209735,-0.47684262713221026,-0.5907927915062844
miR9,-0.5388372596850478,0.3972274678821475,0.6521115149683645,-0.6591175261249609,-0.379527631023561,0.7756516484146865,0.0,0.0,0.5753178991598664,0.7725818412071238,0.0,0.7756516484146865,-0.4586275547557931,-0.3811601548899836,0.53518392927125,-0.32558380414312615,-0.8610279038173207,-0.687553884118791,-0.750625268997106,-0.32116980202086587,-0.3940831878476375,-0.5950155763239875
miR141,-0.6769080368723975,0.5120784500812662,0.6963133428524991,-0.8069313620923395,-0.45615496734276223,0.7329955106301745,0.0,0.0,0.7319060091006865,0.72763973553802,0.0,0.7329955106301745,-0.6044865199936181,-0.48536542043975855,0.6721057718715796,-0.4482398619757418,-0.8103597773927291,-0.7530000265740873,-0.6944193372011153,-0.44101856490187874,-0.5059068880126298,-0.6700646367871478
miR200b,-0.6769080368723975,0.5120784500812662,0.6963133428524991,-0.8069313620923395,-0.45615496734276223,0.7329955106301745,0.0,0.0,0.7319060091006865,0.72763973553802,0.0,0.7329955106301745,-0.6044865199936181,-0.48536542043975855,0.6721057718715796,-0.4482398619757418,-0.8103597773927291,-0.7530000265740873,-0.6944193372011153,-0.44101856490187874,-0.5059068880126298,-0.6700646367871478
miR30c,-0.6532270130815905,0.48171994329646317,0.5794339975115588,-0.5953918960807758,-0.33200253005140656,0.6387272449351548,0.0,0.0,0.5342279708822018,0.6299742474153185,0.0,0.6387272449351548,-0.5822131853120268,-0.42833084140977984,0.49092364227431384,-0.4322264877022903,-0.705684412149086,-0.5713576823463276,-0.5747973994258124,-0.40817745753908774,-0.4569713478250149,-0.5041758316569875
miR200c,-0.6769080368723975,0.5120784500812662,0.6963133428524991,-0.8069313620923395,-0.45615496734276223,0.7329955106301745,0.0,0.0,0.7319060091006865,0.72763973553802,0.0,0.7329955106301745,-0.6044865199936181,-0.48536542043975855,0.6721057718715796,-0.4482398619757418,-0.8103597773927291,-0.7530000265740873,-0.6944193372011153,-0.44101856490187874,-0.5059068880126298,-0.6700646367871478
TWIST2,0.7012127293485715,-0.5362916541052641,-0.7267260839202068,0.741777312316952,0.44927454836314995,-0.6770865052253311,0.0,0.0,-0.6749403121682972,-0.6693779962291623,0.0,-0.6770865052253311,0.6332208313794722,0.48189214026616645,-0.5847172976697521,0.4811851309337289,0.7471650411700446,0.6043957143212446,0.6228865396977123,0.5604443820962555,0.6154155955594973,0.5308601692975479
FOXC2,0.616951232131079,-0.4722962282852562,-0.7319447063250514,0.8413341233713434,0.4436571620597398,-0.7618647824149483,0.0,0.0,-0.7612302086530776,-0.7578730435360901,0.0,-0.7618647824149483,0.6395309158867496,0.450744259305207,-0.7108193993492995,0.40489942963319214,0.6437852004866602,0.6770500324934721,0.7301669930375175,0.4004282801410774,0.46845801991802904,0.5886102040897692
miR34a,-0.6931239140151135,0.5283829377055258,0.6154932748368983,-0.7294354792606779,-0.4381516932589851,0.6660363224342258,0.0,0.0,0.6644171733778554,0.6587896096166049,0.0,0.6660363224342258,-0.7260332120331865,-0.4885321736572747,0.5731883577310638,-0.47522298112837946,-0.6335693304208558,-0.5953386177780255,-0.6118646182148171,-0.4513426434962418,-0.5041067018122192,-0.5239216962693609
KLF8,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEB2,0.613593489370855,-0.46123962593685874,-0.8295740927561092,0.7386347543269862,0.43156889852540326,-0.8599927038794561,0.0,0.0,-0.6591175261249609,-0.8557540105641372,0.0,-0.8599927038794561,0.5372906202520794,0.4415397515685127,-0.6084847178555535,0.3972274678821475,0.8412514938185769,0.7745887774543293,0.8281397713144075,0.3940831878476375,0.45710581922469923,0.687553884118791
TGFbeta,0.6535205911741884,-0.485531394526879,-0.580922558666749,0.5936989936876704,0.40475215790503294,-0.5347466883692709,0.0,0.0,-0.5334600133371659,-0.6265951876999725,0.0,-0.5347466883692709,0.5913431965647644,0.4553711304706593,-0.5329067840897436,0.43687051184110004,0.5969281082110443,0.5686995310123406,0.5764703111191756,0.4210983255600581,0.46900227991460286,0.6027189590403278
VIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCF3,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TWIST1,0.6981656670293542,-0.5173417446626132,-0.7222085262221798,0.7416639822650796,0.36738290317456884,-0.6767742931506728,0.0,0.0,-0.6746170985502533,-0.6689124420312187,0.0,-0.6767742931506728,0.629309172446269,0.5624017186411275,-0.5787511893626445,0.462471698674911,0.7469956399199222,0.603889064014357,0.7192217234057324,0.5389551405524833,0.4934224497475861,0.5301596139601135
GSC,0.5889825750828813,-0.5171687751451545,-0.6187879998858501,0.7363966033828538,0.44303254471384423,-0.6714593129196396,0.0,0.0,-0.6701898934261439,-0.6629436623333442,0.0,-0.6714593129196396,0.5268234841938437,0.5690651544427858,-0.5881788252600886,0.46269626985297707,0.7396815135773174,0.5991568850148268,0.6164019974951261,0.523523609292974,0.5777976176113053,0.526383300612405
