,GRHL2,EXTGFB,ESRP1,MIR1199,CDH1,HAS2,MIR34,ZEB1,CD44s,MIR190,MIR340,EMT,VIM,SNAIL1,CD24,TGFB,HA,MIR200
GRHL2,0.7322459345955563,0.0,0.7322459345955563,0.7322459345955563,0.6566445209409065,-0.7322459345955563,0.6566445209409065,-0.8008495772668486,-0.6584754427922777,0.7322459345955563,0.7322459345955563,-0.596704761904762,-0.6566445209409065,-0.3404700713069641,0.7584754427922776,-0.6213284907183212,-0.6584754427922777,0.6566445209409065
EXTGFB,-0.2991262675218438,0.0,-0.2991262675218438,-0.2991262675218438,-0.29003282816881626,0.2991262675218438,-0.29003282816881626,0.32504463486878254,0.2661562402738874,-0.2991262675218438,-0.2991262675218438,0.26516326295142495,0.29003282816881626,0.16364368723174644,-0.2661562402738874,0.3009001567476911,0.2661562402738874,-0.29003282816881626
ESRP1,0.5536476426799007,0.0,0.5536476426799007,0.5536476426799007,0.4818903318903319,-0.5536476426799007,0.4818903318903319,-0.6252648043960723,-0.5746153846153846,0.5536476426799007,0.5536476426799007,-0.41825396825396827,-0.4818903318903319,-0.2939655172413793,0.4746153846153846,-0.43966131907308376,-0.4746153846153846,0.4818903318903319
MIR1199,0.6252648043960723,0.0,0.6252648043960723,0.6252648043960723,0.5403808979280678,-0.6252648043960723,0.5403808979280678,-0.6927942161607783,-0.5536476426799007,0.6252648043960723,0.6252648043960723,-0.4818903318903319,-0.5403808979280678,-0.3226912191852238,0.5536476426799007,-0.5094362386872316,-0.5536476426799007,0.5403808979280678
CDH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
HAS2,-0.5536476426799007,0.0,-0.5536476426799007,-0.5536476426799007,-0.4818903318903319,0.5536476426799007,-0.4818903318903319,0.6252648043960723,0.4746153846153846,-0.5536476426799007,-0.5536476426799007,0.41825396825396827,0.4818903318903319,0.2939655172413793,-0.4746153846153846,0.43966131907308376,0.5746153846153846,-0.4818903318903319
MIR34,0.2991262675218438,0.0,0.2991262675218438,0.2991262675218438,0.29003282816881626,-0.2991262675218438,0.29003282816881626,-0.32504463486878254,-0.2661562402738874,0.2991262675218438,0.2991262675218438,-0.26516326295142495,-0.29003282816881626,-0.16364368723174644,0.2661562402738874,-0.3009001567476911,-0.2661562402738874,0.29003282816881626
ZEB1,-0.6927942161607783,0.0,-0.6927942161607783,-0.6927942161607783,-0.5942270517742216,0.6927942161607783,-0.5942270517742216,0.653892820393106,0.6252648043960723,-0.6927942161607783,-0.6927942161607783,0.5403808979280678,0.5942270517742216,0.3517080057559672,-0.6252648043960723,0.5730259822769753,0.6252648043960723,-0.5942270517742216
CD44s,-0.6252648043960723,0.0,-0.6252648043960723,-0.6252648043960723,-0.5403808979280678,0.6252648043960723,-0.5403808979280678,0.6927942161607783,0.5536476426799007,-0.6252648043960723,-0.6252648043960723,0.4818903318903319,0.5403808979280678,0.3226912191852238,-0.5536476426799007,0.5094362386872316,0.5536476426799007,-0.5403808979280678
MIR190,0.2661562402738874,0.0,0.2661562402738874,0.2661562402738874,0.26516326295142495,-0.2661562402738874,0.26516326295142495,-0.2991262675218438,-0.23874883286647997,0.2661562402738874,0.2661562402738874,-0.24086419753086422,-0.26516326295142495,-0.14956426484907498,0.23874883286647997,-0.3753987240829347,-0.23874883286647997,0.26516326295142495
MIR340,0.6252648043960723,0.0,0.6252648043960723,0.6252648043960723,0.5403808979280678,-0.6252648043960723,0.5403808979280678,-0.6927942161607783,-0.5536476426799007,0.6252648043960723,0.6252648043960723,-0.4818903318903319,-0.5403808979280678,-0.3226912191852238,0.5536476426799007,-0.5094362386872316,-0.5536476426799007,0.5403808979280678
EMT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
SNAIL1,-0.32504463486878254,0.0,-0.32504463486878254,-0.32504463486878254,-0.3116755921844616,0.32504463486878254,-0.3116755921844616,0.3514203464437351,0.2991262675218438,-0.32504463486878254,-0.32504463486878254,0.29003282816881626,0.3116755921844616,0.07406317302335673,-0.2991262675218438,0.32892563445469747,0.2991262675218438,-0.3116755921844616
CD24,0.6252648043960723,0.0,0.6252648043960723,0.6252648043960723,0.5403808979280678,-0.6252648043960723,0.5403808979280678,-0.6927942161607783,-0.5536476426799007,0.6252648043960723,0.6252648043960723,-0.4818903318903319,-0.5403808979280678,-0.3226912191852238,0.5536476426799007,-0.5094362386872316,-0.5536476426799007,0.5403808979280678
TGFB,-0.2991262675218438,0.0,-0.2991262675218438,-0.2991262675218438,-0.29003282816881626,0.2991262675218438,-0.29003282816881626,0.32504463486878254,0.2661562402738874,-0.2991262675218438,-0.2991262675218438,0.26516326295142495,0.29003282816881626,0.16364368723174644,-0.2661562402738874,0.3009001567476911,0.2661562402738874,-0.29003282816881626
HA,-0.6252648043960723,0.0,-0.6252648043960723,-0.6252648043960723,-0.5403808979280678,0.6252648043960723,-0.5403808979280678,0.6927942161607783,0.5536476426799007,-0.6252648043960723,-0.6252648043960723,0.4818903318903319,0.5403808979280678,0.3226912191852238,-0.5536476426799007,0.5094362386872316,0.5536476426799007,-0.5403808979280678
MIR200,0.543897857276372,0.0,0.543897857276372,0.543897857276372,0.5565365799217397,-0.543897857276372,0.5565365799217397,-0.6010054990183604,-0.4859069896964633,0.543897857276372,0.543897857276372,-0.5086349880259365,-0.5565365799217397,-0.30023162833891,0.4859069896964633,-0.6396596238037009,-0.4859069896964633,0.5565365799217397
