,tbx3,etv5,stat5a,klf4,mitf,tfe3,smad3,ahr,nfic,smad4,fos,foxf1,nr3c1,nr2f1,tfap2a,jun,mafb
tbx3,0.2993597870554951,1.648820494440552,-0.19020556230394198,-0.06468208165827971,-0.14980726519816548,0.42498228126821924,0.817503809371656,0.015519098361652378,0.43010266211364184,-0.7691387703362997,-0.19225236749525804,-0.24251798152344262,0.817503809371656,0.7116414819067909,-0.0832916443976266,0.9450678370031926,0.03068088689968372
etv5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stat5a,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
klf4,0.7137294577656956,-0.5039966565663159,-0.14980726519816548,0.5641834265431748,-0.42603698825482617,0.12395925151248631,0.34525401661775107,0.01851311955891066,-0.15853639674682043,-0.27257616507103677,-0.005299511759933387,0.685468486841256,0.34525401661775107,-0.704504530756024,-0.27000733505167857,0.343966887400818,0.817503809371656
mitf,-0.32126166088594343,-0.24363639589500763,0.29158115011081853,-0.3203440047042059,0.5375022331720929,-0.7582085220050753,-0.08137292300075011,2.236925823128369,-0.6366593076452419,0.023898515654133128,0.4808199243259442,-0.1586345875713594,-0.08137292300075011,0.18292581768856858,0.5666625857748339,-0.952324708385028,0.003893555710184649
tfe3,0.0,0.0,0.0,0.0,0.0,-0.13266282952610892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smad3,0.5149963462032732,-0.203750746836501,-0.024946224327265416,0.5939901434510824,-1.2004977084897706,-0.014706516763886483,0.24068558412758265,-0.2109894463705819,-0.03310844515630581,-0.28488170275279956,0.08927622490484681,0.44530026011652935,0.40287530654800974,0.2145307087153414,-0.06724023445176144,0.46650096487259574,0.15247245901459047
ahr,0.3011552765586827,-0.16590073771118585,-0.10018800062389879,-3.1490765375859375,-0.35342788131781355,-0.008275580995827302,0.48241853915201516,-0.18859874054966097,0.20205774671107912,-0.35992687883020713,0.7688118094984354,-3.204881507452154,0.48241853915201516,0.04193378683515923,-0.38184119970568453,0.14520906041205942,-0.0014894188497792333
nfic,0.5675277026240912,-0.39307802009194415,-0.10258530450496439,0.27675061506156207,0.11698615533784754,0.11494726723934098,0.063452859020738,-0.20308814830675678,-0.022443935112808074,0.07735543985329309,-0.2107028571566261,0.21532072258394488,0.063452859020738,0.6826294379927508,0.10651927956356867,-2.3239983151233843,0.3967577436418959
smad4,0.16069031721388988,0.14289986032145485,0.30540556542478037,0.0930073510686183,0.7774551212575176,-0.34140434748309245,0.848277443573283,0.2052399090685531,-0.22330554681349113,-0.8442580328808604,0.36240841270763874,0.09386708629016947,0.848277443573283,3.588201808671625,0.06058111254429604,0.14199405754477715,-0.010566196941830858
fos,-0.39917068447001025,0.2469092278705552,0.1959844455536686,0.16248629720171262,0.23718499030933796,0.029396823752364555,-0.27969146789489663,-0.5072162212517175,-0.3938022424715689,0.16125159561498606,-0.04841771022598098,0.19662093591545993,-0.27969146789489663,-0.23527325413568073,-0.03429283999660671,-0.38478673505081473,-0.3070249550075808
foxf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nr3c1,0.5065886592174197,-0.1624270102157386,0.28417306208635607,0.010877679617275532,-0.20727687137319306,0.21975280615767895,0.6598225002766743,-0.38275113405506933,0.10037985226429989,-0.589282279323892,0.29136998592101326,-0.09722795691848071,0.46392535805174967,0.15626295344824526,0.09614094524536293,0.08757783880304121,-0.12241866734909454
nr2f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19277563597396005,0.0,0.0
tfap2a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jun,0.5468119446659381,0.06264222576276934,0.10324598349485282,3.860330672902561,-0.32384688076661855,0.23562610374190293,0.5476629835627093,-0.048620824960231505,0.10503989826288214,-0.39425476016793054,0.2068611487881662,3.6142023095046687,0.5476629835627093,0.32212581275161745,-0.06502927919844083,0.7006480741919535,-0.18054506768951784
mafb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
