Node,Avg Incan,OutDeg,InDeg,No_hybrids,Hybrid Frequency(1000 sims)
FOXC2,0.7214198674743553,1,3,2,44
ZEB1,0.5963310969374673,6,12,8,484
ZEB2,0.5834222627661763,4,10,2,53
SNAI1,0.3892376451049075,8,7,13,107
TGFbeta,0.6621681348895856,3,4,21,391
SNAI2,0.6542549627304288,4,6,6,85
TWIST2,0.7113986158451004,5,2,2,34
TWIST1,0.6187617008362021,5,3,5,54
GSC,1.0,5,1,15,47
miR101,0.7767838454448439,3,2,2,44
miR141,1.0,3,1,0,0
miR200a,0.7720860583022356,3,2,0,0
miR200b,0.7302158034007695,3,3,0,0
miR200c,0.7720860583022356,3,2,0,0
miR34a,0.8057073360109418,4,2,2,64
